label,trajectory,ids
2,"[[172, 54], [171, 58], [171, 57], [155, 51], [154, 53], [162, 52], [163, 49], [170, 52], [177, 58], [186, 61], [198, 60], [212, 64], [219, 68], [214, 69], [214, 71], [207, 69], [210, 73], [186, 63], [181, 59], [181, 58], [177, 63], [181, 69], [179, 72], [173, 68], [180, 64], [183, 67], [179, 70], [186, 59], [187, 56], [190, 55], [188, 46], [190, 42], [198, 38], [197, 27]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[191, 63], [177, 60], [174, 57], [173, 54], [173, 56], [168, 55], [175, 56], [176, 60], [186, 61], [204, 65], [205, 71], [214, 75], [230, 84], [223, 91], [226, 98], [226, 102], [230, 113], [239, 116], [239, 122], [234, 108], [241, 102], [224, 91], [218, 80], [216, 78], [214, 82], [202, 80], [189, 76], [179, 72], [187, 67], [186, 64], [192, 70], [192, 81], [197, 86], [143, 110], [110, 90], [104, 82], [116, 67], [125, 61], [134, 64], [160, 65], [163, 73], [164, 74], [193, 61]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[287, 33], [281, 33], [273, 37], [255, 38], [246, 39], [252, 37], [256, 37], [267, 39], [267, 48], [266, 54], [269, 55], [278, 58], [279, 65], [279, 64], [279, 68], [270, 71], [273, 71], [289, 84], [255, 79], [243, 77], [230, 68], [222, 69], [221, 65], [217, 66], [190, 66], [182, 66], [175, 77], [177, 72], [187, 64], [199, 53], [206, 49], [214, 50], [218, 56], [238, 59], [231, 60], [223, 63], [229, 65], [234, 63], [243, 61], [244, 63], [244, 63], [245, 60], [251, 70], [251, 77], [262, 84], [260, 91], [261, 87], [250, 92], [255, 93], [253, 91], [254, 91], [277, 113], [270, 127], [240, 170], [232, 166]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[80, 44], [78, 48], [73, 51], [75, 52], [83, 42], [88, 41], [103, 41], [102, 41], [101, 41], [98, 41], [99, 41], [105, 46], [94, 57], [99, 67], [105, 65], [101, 77], [87, 92], [81, 96], [77, 110]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[176, 35], [174, 36], [175, 41], [180, 46], [179, 49], [193, 54], [200, 63], [201, 64], [202, 67], [207, 72], [215, 69], [218, 62], [225, 64], [230, 69], [252, 89], [271, 103], [263, 100], [255, 86], [249, 83], [249, 78], [246, 74], [237, 75], [232, 72], [226, 70], [219, 65], [218, 63], [218, 60], [209, 55], [209, 54], [206, 50], [208, 51], [211, 53], [215, 51], [220, 50], [216, 50], [220, 51], [233, 57], [239, 57], [249, 58], [259, 62], [258, 61], [243, 62], [225, 65], [216, 60], [208, 58], [194, 56], [193, 54], [193, 47], [193, 44], [194, 42], [201, 42], [208, 46], [208, 46], [215, 51], [220, 53], [212, 52], [189, 56], [179, 56], [175, 54], [172, 57], [180, 57], [185, 56], [190, 53], [193, 45], [193, 38], [178, 36], [170, 41], [156, 46], [146, 53], [150, 54], [151, 53], [157, 57], [167, 65], [164, 67], [181, 61], [179, 58], [183, 54], [175, 52], [170, 52], [169, 52], [176, 49], [171, 50]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[144, 47], [152, 50], [168, 60], [195, 73], [200, 74], [207, 75], [206, 78], [214, 86], [232, 103], [238, 115], [230, 109], [228, 99], [219, 83], [223, 81], [219, 74], [204, 68], [194, 65], [176, 59], [168, 57], [162, 54], [157, 52], [165, 53], [168, 57], [171, 59], [174, 61], [172, 64], [164, 57], [161, 57], [160, 65], [158, 66], [159, 62], [159, 59], [160, 55]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[216, 46], [225, 57], [231, 64], [238, 83], [243, 94], [244, 92], [236, 86], [228, 80], [223, 77], [222, 74], [218, 66], [213, 63], [208, 58], [211, 50], [211, 49], [212, 42], [208, 38], [210, 36], [212, 32], [207, 31], [200, 33], [205, 45], [208, 54], [207, 57], [212, 59], [210, 59], [209, 57], [208, 51], [215, 56], [226, 69], [237, 92], [234, 88], [225, 79], [219, 72], [216, 65], [213, 62], [193, 59], [178, 51], [179, 46], [188, 38], [182, 32], [180, 27], [182, 25], [182, 25], [179, 31], [177, 36], [173, 40], [171, 41], [183, 44]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[186, 62], [191, 57], [188, 58], [181, 61], [182, 71], [180, 79], [179, 85], [175, 84], [172, 81], [173, 80], [183, 80], [180, 79], [166, 73], [168, 66], [169, 65], [178, 72], [187, 80], [189, 83], [203, 99], [219, 112], [222, 114], [224, 122], [212, 107], [208, 99], [205, 93], [215, 96], [212, 94], [205, 87], [204, 84], [199, 84], [200, 79], [198, 76], [200, 79], [207, 87], [202, 80], [199, 79], [215, 78], [209, 72], [207, 71], [207, 82], [221, 96], [229, 86], [230, 69], [224, 78], [227, 80]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[86, 27], [33, 106], [24, 111], [25, 88], [34, 68], [34, 57], [50, 36], [60, 27], [53, 21], [62, 15], [60, 5], [65, 6], [79, 8], [92, 6]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[182, 76], [183, 79], [180, 78], [178, 79], [184, 77], [179, 75], [182, 74], [179, 74], [179, 74], [115, 69], [68, 116], [63, 122]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[159, 64], [164, 62], [177, 54], [178, 50], [178, 49], [171, 43], [168, 39], [167, 37], [168, 42], [166, 46], [166, 46], [164, 48], [167, 53], [165, 61], [172, 72], [174, 76], [176, 78], [178, 78], [179, 79], [184, 80], [192, 86], [215, 101], [223, 108], [222, 107], [245, 112], [248, 115], [248, 112], [240, 109], [234, 108], [225, 110], [211, 112], [200, 116], [160, 122], [134, 141], [119, 146]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[147, 106], [154, 99], [170, 92], [171, 82], [175, 80], [180, 75], [186, 66], [193, 61], [195, 50], [194, 44], [189, 38], [176, 40], [198, 45], [220, 45], [259, 52], [249, 50], [242, 50], [219, 42], [211, 38], [207, 36], [205, 38], [207, 35], [198, 25], [193, 23], [187, 43], [195, 47], [208, 62], [220, 72], [222, 74], [227, 74], [222, 74], [226, 75], [235, 74], [232, 68], [224, 68], [214, 71], [207, 69], [209, 67], [205, 69], [201, 71], [206, 71], [201, 69], [204, 71], [211, 71], [217, 70], [208, 69], [200, 69]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[187, 28], [181, 31], [179, 39], [178, 41], [177, 46], [178, 53], [175, 56], [182, 61], [201, 78], [212, 88], [220, 100], [209, 94], [215, 89], [226, 82], [225, 80], [222, 77], [227, 70], [238, 65], [241, 65], [245, 64], [242, 65], [238, 62], [235, 67], [237, 73], [237, 70], [243, 72], [226, 71], [190, 71], [171, 70], [164, 65]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[138, 77], [137, 72], [139, 71], [138, 65], [144, 61], [145, 61], [143, 64], [141, 67], [142, 66], [141, 69], [156, 89], [163, 100], [172, 105], [169, 94], [171, 87], [160, 82], [157, 70], [146, 63], [134, 63]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[36, 132], [19, 125], [31, 101], [34, 82], [38, 70], [38, 57], [44, 52], [35, 49], [34, 44], [48, 41], [47, 41], [52, 39], [66, 38], [60, 32], [65, 24], [62, 21], [57, 20], [65, 25], [31, 39], [17, 44]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[148, 2], [139, 22], [129, 50], [111, 127], [91, 172], [81, 170], [86, 144], [67, 109], [76, 97], [65, 61], [48, 32], [45, 23], [51, 15], [61, 16], [61, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[12, 38], [45, 57], [57, 81], [76, 82], [135, 71], [165, 54], [163, 46], [162, 35], [122, 31], [85, 43], [36, 72]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[9, 74], [16, 73], [47, 81], [108, 91], [159, 47], [144, 39], [108, 29], [75, 29], [57, 31], [31, 45], [16, 55], [15, 66]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[203, 44], [182, 34], [189, 32], [207, 28], [225, 25], [231, 21], [226, 19], [221, 16], [215, 16], [215, 14], [214, 14], [221, 14], [223, 15], [225, 20], [224, 23], [220, 30], [215, 33], [219, 35], [215, 51], [207, 57], [210, 63], [203, 60], [210, 47], [207, 42], [199, 38], [192, 39], [196, 39], [214, 43], [231, 43], [245, 36], [248, 29], [243, 15], [241, 9]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[38, 14], [20, 40], [15, 41], [7, 35], [6, 23], [6, 18], [23, 7], [25, 10], [4, 4]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[188, 8], [194, 22], [192, 35], [190, 37], [191, 39], [184, 40], [185, 42], [187, 51], [182, 59], [178, 61], [169, 61], [160, 60], [155, 59], [158, 55], [152, 49], [153, 46], [149, 44], [148, 38], [151, 36], [149, 33], [149, 29], [145, 27], [149, 29], [149, 25], [147, 21], [153, 19]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[281, 21], [250, 57], [237, 81], [221, 78], [205, 74], [202, 68], [207, 60], [210, 54], [219, 53], [234, 57], [246, 57], [255, 60], [271, 68], [273, 70], [266, 67], [250, 53], [235, 41], [226, 31], [209, 14]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[165, 39], [145, 40], [109, 48], [91, 60], [75, 61], [82, 52], [83, 45], [87, 42], [90, 33], [96, 23], [99, 19], [117, 10]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[104, 54], [115, 51], [125, 48], [131, 48], [141, 50], [148, 53], [147, 55], [149, 53], [157, 50], [165, 48], [163, 49], [167, 50], [174, 51], [174, 53], [178, 55], [173, 54], [177, 53], [180, 42], [188, 35], [133, 57], [61, 111]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2,"[[105, 54], [105, 64], [107, 71], [109, 75], [114, 72], [109, 60], [94, 42], [98, 26], [100, 25], [116, 44], [123, 58], [116, 56], [127, 49], [117, 46], [115, 47]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[146, 75], [151, 77], [152, 78], [156, 77], [157, 75], [156, 73], [153, 72], [151, 73], [152, 76], [145, 78]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[181, 82], [174, 79], [171, 78], [170, 79], [168, 79], [162, 77], [164, 76]]","[[1], [1], [1], [1], [1], [1], [1]]"
1,"[[167, 94], [166, 93], [162, 93], [159, 95], [156, 95]]","[[1], [1], [1], [1], [1]]"
1,"[[41, 52], [42, 51], [37, 52], [41, 59], [43, 63]]","[[1], [1], [1], [1], [1]]"
1,"[[303, 45], [289, 43], [290, 41], [287, 41], [290, 44], [280, 31], [274, 27], [260, 18]]","[[1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[159, 58], [155, 59], [159, 59], [164, 60], [167, 62], [173, 61], [176, 57], [176, 56]]","[[1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[122, 0], [118, 9], [117, 12], [120, 17], [131, 13], [137, 12], [147, 12], [145, 16], [143, 19], [138, 31]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[174, 68], [169, 68], [173, 71], [181, 67], [179, 66], [185, 60], [190, 61]]","[[1], [1], [1], [1], [1], [1], [1]]"
1,"[[148, 64], [144, 57], [140, 57], [147, 59], [152, 62], [164, 71], [172, 78]]","[[1], [1], [1], [1], [1], [1], [1]]"
1,"[[58, 54], [58, 57], [57, 59], [54, 62], [52, 63], [48, 62], [43, 62], [42, 57], [45, 57], [49, 57], [55, 53], [54, 53], [51, 54], [50, 55], [52, 57], [51, 55], [51, 55], [52, 52], [55, 46], [58, 43], [60, 39], [56, 38], [54, 39], [52, 40], [50, 43], [50, 44]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[212, 57], [212, 57], [209, 60], [211, 62]]","[[1], [1], [1], [1]]"
1,"[[177, 72], [174, 68], [171, 65], [172, 62], [175, 65], [178, 65], [181, 66], [183, 57], [182, 53], [183, 49], [178, 48], [178, 53], [179, 61], [186, 58], [187, 54], [196, 47], [193, 47], [193, 49], [198, 55]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[5, 33], [8, 27], [14, 26], [18, 28], [10, 35]]","[[1], [1], [1], [1], [1]]"
1,"[[6, 62], [8, 61], [13, 55], [15, 52], [19, 48]]","[[1], [1], [1], [1], [1]]"
1,"[[5, 54], [5, 46], [8, 44], [16, 39], [17, 37], [20, 30], [29, 32], [32, 36]]","[[1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[47, 49], [52, 50], [54, 49], [51, 49], [49, 42], [41, 36], [34, 37], [33, 38], [34, 38], [33, 39], [34, 40], [32, 39], [28, 39]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[154, 30], [150, 26], [145, 18], [141, 8], [139, 4], [137, 0]]","[[1], [1], [1], [1], [1], [1]]"
1,"[[60, 48], [61, 49], [64, 48], [64, 49]]","[[1], [1], [1], [1]]"
1,"[[164, 0], [160, 0], [159, 0], [153, 4], [148, 16], [145, 24]]","[[1], [1], [1], [1], [1], [1]]"
1,"[[234, 0], [234, 0], [240, 7], [243, 16], [245, 19], [249, 24]]","[[1], [1], [1], [1], [1], [1]]"
1,"[[45, 32], [50, 27], [58, 19], [67, 12], [72, 11]]","[[1], [1], [1], [1], [1]]"
1,"[[127, 72], [125, 69], [124, 63], [122, 58], [123, 60], [125, 64], [126, 68], [130, 71], [133, 75], [136, 77], [137, 76], [132, 67], [131, 67], [131, 67], [132, 68], [134, 68], [135, 68], [135, 67], [135, 65], [133, 62], [131, 59], [132, 57], [133, 55], [132, 53], [133, 54], [134, 57], [137, 61], [137, 59], [139, 52], [138, 46], [136, 49], [136, 58], [133, 68], [133, 70], [135, 68], [137, 64], [132, 59]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[77, 48], [77, 46], [80, 47], [80, 48], [81, 47], [81, 46], [80, 43], [80, 35]]","[[1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[168, 69], [168, 71], [171, 73], [170, 74], [174, 76]]","[[1], [1], [1], [1], [1]]"
1,"[[128, 60], [136, 68], [138, 70], [142, 69], [139, 64], [143, 60], [137, 47], [136, 53], [136, 58], [138, 67], [141, 68], [140, 64], [132, 69], [131, 61], [131, 62]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[121, 6], [123, 3], [129, 0], [134, 0], [138, 0]]","[[1], [1], [1], [1], [1]]"
1,"[[163, 77], [157, 72], [161, 67], [162, 60], [158, 47], [156, 44], [158, 48], [165, 59], [170, 71], [174, 76]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[5, 35], [5, 38], [10, 29], [10, 23], [17, 23], [19, 25], [23, 27], [23, 27], [21, 28], [22, 31], [28, 38], [28, 40], [29, 42], [31, 43], [31, 40]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[109, 19], [103, 23], [90, 13], [79, 11], [80, 11], [82, 13], [80, 20], [74, 22], [70, 20], [48, 10], [34, 9]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[73, 11], [72, 11], [69, 12], [67, 21], [71, 30], [66, 42]]","[[1], [1], [1], [1], [1], [1]]"
1,"[[118, 65], [115, 64], [113, 65], [111, 65], [110, 66], [107, 63], [109, 63], [110, 65]]","[[1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[132, 61], [131, 56], [130, 58], [130, 65], [132, 73], [133, 76], [133, 79], [133, 79], [133, 80], [134, 83]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[286, 8], [279, 0], [273, 0], [269, 0], [266, 0]]","[[1], [1], [1], [1], [1]]"
1,"[[141, 0], [137, 0], [129, 0], [122, 0], [125, 0]]","[[1], [1], [1], [1], [1]]"
1,"[[187, 59], [181, 60], [181, 63], [181, 67], [182, 75]]","[[1], [1], [1], [1], [1]]"
1,"[[11, 52], [8, 46], [13, 38], [20, 32], [23, 31], [30, 31], [39, 27], [43, 24], [43, 19], [42, 17], [45, 17], [47, 19], [51, 27], [50, 28], [49, 28], [51, 25], [52, 25], [53, 18], [54, 13], [54, 14], [51, 21]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[141, 79], [149, 80], [160, 83], [172, 76], [171, 75], [176, 80]]","[[1], [1], [1], [1], [1], [1]]"
1,"[[132, 77], [132, 72], [132, 72], [131, 71], [130, 70], [132, 66], [133, 65], [131, 62], [135, 53], [137, 47], [142, 40], [144, 35], [145, 33], [147, 42]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[28, 56], [35, 59], [39, 58], [43, 57], [42, 53]]","[[1], [1], [1], [1], [1]]"
1,"[[106, 73], [105, 74], [102, 70], [100, 66], [99, 60], [102, 60], [104, 60], [110, 63], [118, 69], [122, 70]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[6, 35], [8, 33], [6, 30], [7, 34], [8, 39], [11, 45], [11, 45], [12, 46], [13, 45], [13, 45], [13, 45], [15, 41], [19, 37], [21, 35], [25, 33], [28, 29], [28, 29], [29, 31], [30, 32], [30, 31], [32, 30], [34, 27], [23, 20]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[107, 54], [105, 52], [104, 50], [96, 48], [91, 47], [90, 48], [90, 56], [97, 64], [101, 57], [110, 52]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[36, 31], [32, 25], [32, 24], [30, 25], [29, 24]]","[[1], [1], [1], [1], [1]]"
1,"[[184, 69], [184, 69], [190, 67], [188, 62], [189, 59], [189, 57], [193, 60], [194, 62], [196, 64], [199, 67], [197, 62], [204, 64]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[113, 72], [105, 69], [86, 69]]","[[1], [1], [1]]"
1,"[[152, 84], [149, 78], [142, 70], [138, 67], [134, 60], [128, 57], [129, 58], [133, 54], [144, 52], [151, 52], [151, 63], [151, 78], [153, 76], [159, 74], [159, 71], [164, 73], [172, 84]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[5, 47], [5, 49], [5, 49], [10, 49], [13, 48], [14, 46], [20, 43], [24, 42], [24, 44], [24, 46], [24, 46], [24, 46], [25, 46], [25, 47], [24, 42], [25, 37], [31, 38], [32, 40], [32, 41], [40, 39], [43, 40], [46, 43], [49, 44], [50, 43], [50, 40], [50, 41], [49, 41], [50, 42], [46, 41], [43, 42], [42, 48], [42, 53], [41, 56], [47, 60], [49, 62], [49, 63]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[87, 57], [95, 58], [106, 59], [114, 69], [114, 69], [113, 70], [112, 68], [109, 58], [111, 57], [111, 56], [111, 58], [109, 50], [115, 48], [120, 45], [119, 39], [117, 35], [116, 34], [103, 42], [98, 46], [94, 50], [93, 54], [93, 54], [94, 54], [96, 53], [95, 52], [95, 50]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[164, 82], [168, 74], [173, 70], [179, 71], [179, 68], [179, 67], [179, 67]]","[[1], [1], [1], [1], [1], [1], [1]]"
1,"[[109, 74], [109, 75], [110, 75], [109, 74], [109, 72], [113, 69], [118, 67], [119, 66], [126, 65], [121, 65], [130, 64], [130, 65], [136, 67], [141, 69], [148, 73], [152, 77], [152, 79], [143, 74], [137, 67], [139, 63], [129, 56], [126, 54], [122, 54], [115, 55], [107, 59], [104, 59], [108, 73], [95, 71], [90, 75]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[50, 49], [34, 49], [31, 50], [24, 51], [20, 50], [19, 50], [16, 49], [6, 49], [5, 50], [5, 46], [5, 47], [5, 48], [8, 50], [12, 50]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[175, 73], [172, 71], [173, 71], [174, 72], [175, 75]]","[[1], [1], [1], [1], [1]]"
1,"[[77, 55], [75, 55], [70, 60], [70, 59], [72, 54], [78, 48], [82, 45], [88, 43], [91, 48], [92, 52], [91, 59], [94, 65], [95, 66], [96, 67], [100, 69], [101, 69], [107, 72]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[5, 32], [5, 33], [7, 39], [12, 45], [16, 48]]","[[1], [1], [1], [1], [1]]"
1,"[[28, 49], [32, 48], [32, 48], [34, 48], [39, 52], [41, 54], [42, 55], [42, 54]]","[[1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[145, 79], [146, 75], [155, 69], [160, 67], [166, 67], [168, 70], [174, 78]]","[[1], [1], [1], [1], [1], [1], [1]]"
1,"[[109, 70], [107, 64], [103, 61], [109, 69], [111, 72], [117, 79]]","[[1], [1], [1], [1], [1], [1]]"
1,"[[175, 81], [176, 79], [176, 74], [175, 67], [175, 65], [175, 65], [180, 68], [178, 69], [173, 76]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[7, 72], [13, 65], [27, 55], [33, 50], [35, 49], [38, 47], [50, 50], [62, 57], [61, 57], [61, 57], [63, 58], [63, 59], [65, 63], [68, 65], [71, 65], [73, 61], [83, 59], [84, 58], [86, 52], [88, 50], [86, 50], [82, 53], [82, 56], [82, 58], [78, 58], [74, 54], [67, 53], [66, 53], [67, 56], [66, 54], [66, 51], [58, 51], [56, 49], [55, 49], [58, 41], [58, 33], [56, 31], [51, 32]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[39, 47], [47, 48], [50, 51], [54, 55], [58, 58], [64, 54], [65, 53], [64, 53], [65, 54], [68, 54], [70, 54], [71, 50], [71, 50], [75, 46], [73, 45], [73, 45], [73, 44], [66, 45], [66, 49], [69, 56], [72, 55], [72, 53], [70, 51], [67, 50], [66, 51], [64, 50], [66, 47], [67, 46], [67, 44], [69, 41], [68, 40], [67, 40], [65, 41], [66, 43], [68, 47], [70, 48], [70, 48], [75, 48], [78, 47], [77, 45], [71, 46], [65, 48], [61, 49], [58, 48], [56, 49], [62, 49], [63, 48], [62, 41], [57, 38], [49, 35]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[154, 86], [157, 77], [143, 75], [147, 77], [151, 76], [147, 75], [147, 75], [146, 76], [147, 78], [150, 79], [153, 80], [152, 78], [150, 77], [148, 79], [152, 80], [153, 82], [154, 80], [153, 80], [151, 78], [147, 76]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[160, 84], [162, 90], [159, 85]]","[[1], [1], [1]]"
1,"[[160, 0], [160, 4], [161, 11], [162, 20], [165, 20], [165, 18], [164, 11], [164, 7], [163, 3], [161, 0]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[38, 39], [33, 41], [33, 48], [35, 51], [36, 52], [36, 53], [35, 52], [35, 53], [35, 54]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1]]"
